ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	Inferior	Normal	Superior	Indice	Porcentaje
5950	-77.175	7.375	Pacífico norte y central	CHOCÓ	RIOSUCIO	26.7	15	58.3	3	58.3
5951	-77.125	7.375	Pacífico norte y central	CHOCÓ	RIOSUCIO	26.4	14.8	58.8	3	58.8
5952	-77.075	7.375	Pacífico norte y central	CHOCÓ	RIOSUCIO	26.1	15.6	58.2	3	58.2
5953	-77.025	7.375	Sinú - San Jorge - Porce	CHOCÓ	RIOSUCIO	18	13.8	68.1	3	68.1
5954	-76.975	7.375	Sinú - San Jorge - Porce	CHOCÓ	RIOSUCIO	16.2	12.5	71.4	3	71.4
5955	-76.925	7.375	Sinú - San Jorge - Porce	CHOCÓ	RIOSUCIO	15.3	11.4	73.3	3	73.3
5956	-76.875	7.375	Sinú - San Jorge - Porce	CHOCÓ	RIOSUCIO	14.9	11.1	73.9	3	73.9
5957	-76.825	7.375	Sinú - San Jorge - Porce	CHOCÓ	RIOSUCIO	14.5	10.3	75.3	3	75.3
5958	-76.775	7.375	Sinú - San Jorge - Porce	CHOCÓ	RIOSUCIO	14.3	12.3	73.4	3	73.4
5959	-76.725	7.375	Sinú - San Jorge - Porce	CHOCÓ	RIOSUCIO	13.4	12.3	74.3	3	74.3
5960	-76.675	7.375	Sinú - San Jorge - Porce	CHOCÓ	RIOSUCIO	12.9	12.9	74.2	3	74.2
5961	-76.625	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	MUTATÁ	12.3	12.6	75.1	3	75.1
5962	-76.575	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	MUTATÁ	11.2	14.1	74.6	3	74.6
5963	-76.525	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	MUTATÁ	11.2	15.9	72.9	3	72.9
5964	-76.475	7.375	Medellín - Carare - Opón	ANTIOQUIA	MUTATÁ	11.6	16.1	72.4	3	72.4
5965	-76.425	7.375	Medellín - Carare - Opón	ANTIOQUIA	MUTATÁ	9.3	14.1	76.6	3	76.6
5966	-76.375	7.375	Medellín - Carare - Opón	ANTIOQUIA	MUTATÁ	9.1	16.2	74.7	3	74.7
5967	-76.325	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	ITUANGO	9.9	17.8	72.3	3	72.3
5968	-76.275	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	ITUANGO	10.7	13.1	76.2	3	76.2
5969	-76.225	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	ITUANGO	11.1	11.7	77.2	3	77.2
5970	-76.175	7.375	Sinú - San Jorge - Porce	CÓRDOBA	TIERRALTA	12.8	10.4	76.8	3	76.8
5971	-76.125	7.375	Sinú - San Jorge - Porce	CÓRDOBA	TIERRALTA	16.3	6.9	76.9	3	76.9
5972	-76.075	7.375	Sinú - San Jorge - Porce	CÓRDOBA	TIERRALTA	15.5	8	76.4	3	76.4
5973	-76.025	7.375	Sinú - San Jorge - Porce	CÓRDOBA	MONTELÍBANO	13.5	9.6	76.9	3	76.9
5974	-75.975	7.375	Sinú - San Jorge - Porce	CÓRDOBA	MONTELÍBANO	12.9	8	79.1	3	79.1
5975	-75.925	7.375	Sinú - San Jorge - Porce	CÓRDOBA	PUERTO LIBERTADOR	13.1	11.7	75.3	3	75.3
5976	-75.875	7.375	Sinú - San Jorge - Porce	CÓRDOBA	PUERTO LIBERTADOR	11.3	15.8	72.9	3	72.9
5977	-75.825	7.375	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	11.9	17.8	70.2	3	70.2
5978	-75.775	7.375	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	11	15.8	73.2	3	73.2
5979	-75.725	7.375	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	9.8	16.2	73.9	3	73.9
5980	-75.675	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	ITUANGO	10.6	14.3	75.1	3	75.1
5981	-75.625	7.375	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	9.8	12.6	77.6	3	77.6
5982	-75.575	7.375	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	9.1	13.7	77.2	3	77.2
5983	-75.525	7.375	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	8.4	12.5	79.1	3	79.1
5984	-75.475	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	TARAZÁ	7.6	17.9	74.6	3	74.6
5985	-75.425	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	TARAZÁ	7.6	18.2	74.2	3	74.2
5986	-75.375	7.375	Sinú - San Jorge - Porce	ANTIOQUIA	VALDIVIA	8.4	18.9	72.6	3	72.6
